
Version:                Openlink BIBM Test Driver 0.7.7
Start date:             Mon Dec 07 17:37:35 ART 2015
Scale factor:           1.0
Explore Endpoint:       http://csi-server01.fing.edu.uy:8890/sparql
Update Endpoint:        http://csi-server01.fing.edu.uy:8890/sparql
Use case:               /home2/lorenae/MEGA/PhD/evaluacion/ssb_qb4olap/ES8_NG_IRIS_UNION+OC1/./queries
Query Streams of Throughput Test:2
Seed:                   808080
TPC-H Power:            253.6 qph*scale (geom)
TPC-H Throughput:       171.5 qph*scale
TPC-H Composite:        208.6
Measurment Interval:    545.7 seconds

Duration of stream execution:
                Query Start         Query End       Duration     RF1 Start           RF2 End           RF2 Start          RF2 End  
Stream 0:	07/12/2015 05:37:35	07/12/2015 05:43:19	00:05:44	
Stream 1:	07/12/2015 05:43:19	07/12/2015 05:52:00	00:08:41	
Stream 2:	07/12/2015 05:43:19	07/12/2015 05:52:25	00:09:05	

TPC Timing intervals (in seconds):

Query		Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	
Stream 0:	2.5	4.5	0.8	14.9	11.3	11.5	47.8	7.9	
Stream 1:	5.2	3.9	0.9	16.9	20.2	24.4	79.1	11.0	
Stream 2:	8.0	2.8	2.2	16.1	19.7	20.3	63.6	14.3	
Minimum: 	5.2	2.8	0.9	16.1	19.7	20.3	63.6	11.0	
Maximum: 	8.0	3.9	2.2	16.9	20.2	24.4	79.1	14.3	
Average: 	6.6	3.3	1.6	16.5	19.9	22.4	71.4	12.6	

Query		Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	
Stream 0:	5.0	2.3	106.2	108.0	21.4	    	    	    	
Stream 1:	2.9	2.8	156.6	162.7	34.7	    	    	    	
Stream 2:	2.1	1.3	163.1	195.8	36.3	    	    	    	
Minimum: 	2.1	1.3	156.6	162.7	34.7	    	    	    	
Maximum: 	2.9	2.8	163.1	195.8	36.3	    	    	    	
Average: 	2.5	2.0	159.8	179.2	35.5	    	    	    	

Query		Q17	Q18	Q19	Q20	Q21	Q22	RF1	RF2	
Stream 0:	    	    	    	    	    	    	    	    	
Stream 1:	    	    	    	    	    	    	    	    	
Stream 2:	    	    	    	    	    	    	    	    	
Minimum: 	    	    	    	    	    	    	    	    	
Maximum: 	    	    	    	    	    	    	    	    	
Average: 	    	    	    	    	    	    	    	    	

